text,label
"Luis de Quixano y Font served as Mayor of Ponce, Puerto Rico from 1863 to 1865 and is renowned for constructing the Plaza del Mercado de Ponce, a 65-kiosk farmers' market modeled after the Paris farmers' market, which occupies an entire city block.",0
"In the 1936 college football season, Marquette University's team, the Golden Avalanche, was coached by Frank Murray and played as an independent team at Marquette Stadium in Milwaukee, Wisconsin. They ended the season with a 7-2 record, losing to TCU in the first Cotton Bowl Classic.",6
"Victorville's KVTR is a commercial radio station that broadcasts ranchera music under the name ""Victor 1590 AM"" to the Victor Valley area on 1590 AM.",0
"The Paulinerkirche was a church in Leipzig that was originally built in 1231 as the Klosterkirche St. Pauli for the Dominican monastery. It became the university church after the foundation of the University of Leipzig in 1409 and was later donated to the university after the Protestant Reformation. Johann Sebastian Bach served as director of music for holiday services in the church from 1723-25. The church was destroyed in 1968 during the communist regime of East Germany but a new building, the Paulinum, was built on the site beginning in 2007 to resemble the former church.",2
"Moskovia Airlines, located in Zhukovsky, Moscow, Russia, provided both domestic and international passenger and cargo charters, with its primary hub at Domodedovo Airport.",0
"The James B. Garrison Bridge consists of two car bridges that cross the Pee Dee River/Lake Tillery, connecting Stanly and Montgomery Counties and accommodating NC 24/NC 27/NC 73.",2
"O-Games released Hysteria Hospital: Emergency Ward, a simulation/strategy game similar to Diner Dash, on June 16, 2009 in North America.",1
"The Rees River in New Zealand flows into upper Lake Wakatipu in the South Island and is named after William Gilbert Rees, the founder of Queenstown.",2
"The 1987-88 FA Cup is the 107th season of the oldest football knockout competition, with many lower league clubs competing in preliminary and qualifying rounds before the 28 winners advanced to the First Round Proper.",5
"The main-belt asteroid 1249 Rutherfordia was discovered on November 4, 1932, by K. Reinmuth at Heidelberg and named after the city Rutherford in New York.",2
"Germany's inaugural airfield, the Johannisthal Air Field, was established on September 26, 1909, just a few weeks after the world's first airfield in Rheims, France. It is situated 15 km (9.3 mi) South-East of Berlin, between Johannisthal and Adlershof.",2
"The Chatham Stakes is a Group 3 Thoroughbred horse race held annually during the VRC Spring Racing Carnival at Flemington Racecourse in Melbourne, Australia. It is an open handicap race over 1400 metres and was previously known as the Guvera Stakes in 2015. The total prize money for the race is A$200,000 and there is a trophy worth $1,500.",5
The Turkish State Hydraulic Works supported the construction of Kaymaz Dam in Turkey.,2
"WC and the Maad Circle's second album, Curb Servin', was released after an eleven-year hiatus from 1996 to 2007. It reached #85 on the Billboard 200 and #15 on the Top R&B/Hip-hop albums chart.",1
"The Swallow's Nest Cave is located in Gibraltar, a British Overseas Territory.",2
"FNB Field is a baseball park in Harrisburg, Pennsylvania, USA, located on City Island, in the Susquehanna River. It is the home field of the Harrisburg Senators AA minor league baseball team of the Washington Nationals, as well as the Harrisburg City Islanders soccer club of the USL. The ballpark has a capacity of 6,187 people and underwent a $45 million renovation that began in 2008.",2
"The Predator, a wooden roller coaster, was constructed by Dinn Corporation and designed by Curtis D. Summers in 1990 at Darien Lake.",2
"The estuarine perch, also known as sea pikeperch or sea zander, is a type of fish in the Percidae family. It can be found in several countries including Azerbaijan, Bulgaria, Iran, Kazakhstan, Moldova, Romania, Russia, Turkmenistan, and Ukraine.",3
"Aya Nakahara is a manga artist from Osaka who won the 49th Shogakukan Manga Award for her shōjo manga, Lovely Complex, which tells the story of a tall high school girl who falls in love with a short guy.",0
Loudon introduced the Field Elm variety Ulmus minor 'Concavaefolia' in 1838 in Arboretum et Fruticetum Britannicum.,3
"The top futsal championship in San Marino, founded in 2006, is currently made up of 12 teams and is organized by the Federazione Sammarinese Giuoco Calcio.",0
"The ATP Tulsa, a men's tennis tournament, took place in Tulsa, Oklahoma from 1978-1980 as part of the ATP Tour, and was played on indoor hard courts.",5
