text,label
"I rented a movie because the box looked cool with a guy's face axed in half. It turned out to be a masterpiece with many references to ""Evil Dead"" and other movies. The plot, characters, effects, and humor were all good, but it was slow before the main character went insane. I gave it a 9 and recommend it to fans of ""Evil Dead 2"" and similar movies.",1
"The film was inspired by the fact that American gangsters dress well, while Australian ones can dress poorly without criticism due to their violent tendencies. The story follows Jimmy, an illegal boxer and bouncer who works for local gangster boss Pando in Australia's Kings Cross District. After messing up a job due to love, Jimmy must repay Pando before he is killed. The film explores the nature of Australian criminals and has dark humor and interesting action, but lacks depth in some areas. It is recommended to watch with ""Chopper"" and ""Dirty Deeds"" for an Aussie crime fest or ""Lock Stock and Two Smoking Barrels"" and ""Miller's Crossing"" for an international criminal gang theme. Bryan Brown is a great actor who has done many bad movies, but this is one of his great ones.",1
"The movie is not impressive, with a cast resembling a Saved by the Bell reunion and a poorly designed monster. The military is portrayed as useless, with even highly trained individuals like navy seals and marines dying easily. The plot involves a crazy cryptozoologist trapping a Chupacabra and smuggling it onto a cruise ship, where it is released by two crew members. The only noteworthy part is when the captain's daughter defeats the monster with martial arts, despite the fact that it had previously wiped out an entire navy seals unit.",0
"This movie is a typical New York comedy that relies on the city's craziness to make up for a lack of talent. The characters have no clear motives and the plot is just a series of poorly written scenes. While there are some amusing moments, overall the movie is a disappointment. If you want to watch a good light-hearted crime movie, try ""Brother"" instead. The director should focus on exciting, amusing, enlightening, or entertaining the audience instead of being boring.",0
"Steve Railsback's lead roles are typically good, but Lifeforce is an exception. The confusing horror/sci-fi film improves towards the end when London becomes Zombie City, but overall it is difficult to watch. The naked spacegirl/vampire is the only redeeming quality. It deserves a 4 out of 10 rating.",0
"Red Sonja, played by Brigitte Nielsen, is a female version of Conan and the film feels cheap. Arnold Schwarzenegger appears in the film but not as Conan and only appears every twenty minutes. The film is slow and boring, so watch Conan the Barbarian instead.",0
"Gregory Peck and Gig Young compete for the same woman. Peck sends Young on a dangerous mission and is blamed. Feeling guilty, Peck defends a fort with a group of soldiers he considers to be the worst. The script is based on a novel by Charles Marquis Warren, a western specialist. The film inspired later movies, including ""The Dirty Dozen.""",1
"Visitors is a slow and unenjoyable movie, despite its short length. The action scenes are good, but the slow pacing and lack of clear explanation for the hauntings make it hard to recommend. The creepy setting and effective use of atmosphere are not enough to make up for the overall boredom and derivative nature of the film.",0
"Ramón brings his college friends to an abandoned school building to investigate a diary from his dying father. They relive a horrifying episode from 20 years ago where a sadistic security guard kills five of six people. As they try to escape, the killer hunts and destroys them in various bloody ways. The film has professional gloss, shocking violence, and witty dialogue with pop-culture references. The use of cues and flashbacks may annoy some viewers, but the plot moves quickly, and the camera follows the characters' reactions to the chaotic situation. The paranormal supernatural aspects of the plot may affect your enjoyment of the film. The twist is abrupt, but it works with the story. As a slasher flick, it's a breath of fresh air.",1
"Six of a Kind features W.C. Fields in a memorable 10-minute scene, including his famous pool sequence from vaudeville. The remaining 55 minutes are enjoyable, largely due to Charlie Ruggles' hilarious performance as the bumbling banker J. Pinkham Whinney, with Mary Boland and George Burns and Gracie Allen also providing comedic moments. While Gracie can become tiresome, the overall situation is consistently funny as the Whinneys and their companions embark on a road trip to California. The film receives an 8/10 rating.",1
"A documentary explores the 1993 siege of a religious compound in Waco, Texas, where 76 people, including the sect leader, died in a fire. The cause of the fire is still disputed, raising questions about government ethics.",1
"In 2055, the wealthy can travel back in time to hunt live dinosaurs for a high price through Time Safari, a business that uses Sonia Rand's time machine. Dr. Travis Ryer leads a team to kill a dinosaur, but a hunter accidentally steps on and kills a butterfly, causing major changes to the earth's climate and evolution. Travis and Sonia attempt to stop the changes before they become permanent and lead to human extinction. The movie received a 4/10 rating and was criticized for its slow pace and unrealistic concept of a single butterfly causing significant changes.",0
Michael Jackson's music video featuring Vincent Price's rap and zombies dancing with him is one of his best. He is a favorite singer and one of the best in the world.,1
"Since 1996, I have been continuously satisfied by this movie and novel. Even after ten years, I still remember every dialogue. It is perfect, and I particularly love Willem Defoe's unique voice and the spiritual music by Szararem. No one can replicate this masterpiece. Thank you to Ondaatje and Mingela.",1
"The marketing for 'The New Twenty' features a half-naked male on the poster/home video cover, making it a must-see for fans of gay-themed movies. Despite the stereotyped gay characters, the film focuses on long-term friendship and characters growing apart, with more heterosexual couples having sex outside of marriage. The film feels more suited for TV than the big screen, lacking originality and dealing with familiar themes such as AIDS and drug addiction. The most interesting character is the heavier-set one, Ben.",0
"A 6-part miniseries intertwines four stories about the drug trade in Europe. A German businessman's wife continues his illegal trade after he is arrested, while the British Home Secretary's daughter becomes addicted to heroin during his trip to Pakistan to negotiate an aid package. The original miniseries is superior to its American adaptations, portraying the poverty and desperation of the third world in a stark, uncompromising, and brutal manner.",1
"By mistake, I watched a serious movie on Lifetime about a young woman being attacked by a fellow student who thinks he's above the system. The cast was believable and the performances credible, making it better than the average film of this type. However, the movie seemed slow and repetitive, and the climax could have been given more detail and length.",1
"I watched a bad movie that used the tired trope of a martial arts teacher turned actor fighting his way through a boring plot. The only reason I watched it was because the lead actress was pretty. The movie has many mistakes, which can be fun to find or bothersome for perfectionists. Hopefully, these types of movies will stop being made, but then where will low budget actors go?",0
"Advent Children may please fans of the original game with its familiar settings, characters, music, and action scenes, but it falls short as a standalone movie due to sloppy direction during fight scenes, lack of character development, and a weak plot. The CG is impressive, but not as detailed as in Spirits Within. The film serves more as a side story than a true sequel and is a brainless action flick. The author is not bothered by negative feedback from fans.",0
"The show should have continued with new storylines after season 2. It presents both normal and extremist views of Islam and tackles controversial topics in a meaningful way. The show is well-cast and believable, and it is unfortunate that the writer did not discover it until 2007.",1
"Eisenstein's 1938 film ""Nevsky"" retells the battle of the ice of 1242, with the Germanic knights representing the Nazis. The film is a piece of propaganda and marks Eisenstein's return to official favor after a decade of being out of favor with Stalin. The film's strong points are the battle scenes and Prokofiev's soundtrack, but the comic relief is jarring.",1
