text,label
"This is about one of the worst movies I'd ever seen. It's not the worst though - Manos the Hands of Fate holds that honor.<br /><br />This movie has a lot of problems. To begin, this whole movie is a cheap rip-off of the Conan movies. There's the babe in a skimpy dress wearing a hubcap, the quiet Asian warrior, the cookie cutter bad guy, the almost mindless soliders, and so on. There's lots of continuity errors in this film. Some of the dumbest errors I've ever seen are in this film.<br /><br />Fortunately when I watched this film I seen the MST3K version. Joel and the 'bots make the film watchable, otherwise I probably would've turned it off five minutes into the film.",0
"Mild Spoilers<br /><br />....and that's 'top ten of all time.' I stumbled across 'Two Hands' by accident (maybe that made it all the more special -- no inflated expectations) on IFC one night, and couldn't believe that I hadn't heard anything about it. Now that Heath Ledger is getting more famous in the USA, I'm sure it's more available. At the time, I was telling friends about the film, and no one could find it anywhere except the occasional IFC showing.<br /><br />Anyway, in the black-comedy/gangster genre it fits in well with my other favorites, and everybody in the film really seems to end up with what they deserve. Bryan Brown is hilarious as the main gangster who makes origami with his small son and plays scrabble with his henchmen. Also hilarious is the quick-edit fate of a random car thief. Even Heath was pretty good in it. At the time, I vaguely remembered him from a short-lived series on Fox called 'Roar.' Hopefully Gregor Jordan will make another hit, but as far as I'm concerned, this is his best yet.",1
"The action was episodic and there was no narrative thread to tie the episodes together and move the story forward. The plot plods along. With few exceptions (e.g., Graham Greene) the acting was uninspired, and pedestrian at best. The actors seemed to have something on their minds, other than the scene they were in. It is boring to observe a man driving a car through the semi- desert country of this movie's setting, whether he drives poorly or well. Such scenes are typical of the level of tension in the video. So there was nothing about this video to engage or draw the observer in, to make him or her care about the characters and the out comes. I am doubly disappointed because I rented this movie based on the reputations of the executive producer (Redford) and the writer of the novel on which it was based (Hillerman). I note that the jewel box reports that funding is provided by PBS and the Corporation for Public Broadcasting, as well as Carlton International. I would hope that this video was as disappointing to them as it was to me and my wife, to the point that they will not fund any more disasters coming from the same source.",0
"The main reason for watching this picture is to savor the brilliant performance of S. Ephata Merkerson. Ms. Merkerson dominates this film with her tremendous presence as Nanny, the woman who believes in doing good, no matter to whom, with no strings attached. This actress clearly shows a range that is amazing.<br /><br />Thanks to director George Wolf for bringing this distinguished cast of some of the best Black Americans actors together. This ensemble group under his tight direction help create the right atmosphere in which the action takes place.<br /><br />Of course, none of this would have been possible if Ruben Santiago Hudson hadn't written his wonderful play. Working with Mr. Wolf, perhaps the best theater director of this generation, they have opened the play in a way that it evokes that not too distant past where a child lives under the influence of Ms. Crosby, when his own parents are not around to take care of him. Ms. Crosby becomes the adoring mother of little Ruben; in a way, he represents her reward for having lost her own daughter.<br /><br />Unfortunately, there is no time to develop some of the characters, as the action solely concentrates in enhancing the relationship between Nanny and the young Ruben, played with such charm by the young Marcus Carl Franklin, who is a natural. The only thing that could have been done differently was the voice over narration that is at times intrusive, as it doesn't clarify, or justify what one is seeing. Frankly, just by watching the interaction of the players, is self explanatory.<br /><br />In the background there is always music. No matter what hard times these people are going through, but Nanny's house is full of laughter and that glorious music that takes us back to that era.<br /><br />Aside from Ms. Merkerson, other notable performances are given by Terrence Dashon Howard, one of the rising stars of the moment. Mos Def, Jeffrey Wright, Marcy Gray, Louis Gossett Jr.,Delroy Lindo, Rosie Perez, Carmen Ejogo, Jimmy Smits and the rest.<br /><br />Ms. S. Ephata Merkerson deserves to be seen by a wider audience. In ""Lackawanna Blues"", she clearly demonstrates she can do anything she wants because of her enormous talent and charisma.",1
"This series is formulaic and boring. The episodes are the same thing every week, simply with slightly varied settings. Some purely evil character does some dastardly deed, Walker goes after him, and it ends in a Karate match. The villains are super-cliché super-stereotypical evil villains, the good guys are all pure, honest and saintly, and the story lines are simplistic and unrealistic. After about 2 episodes, the show becomes totally unwatchable by all but the least discerning fans. Certainly not Norris's best work. His other work may be cliché but it usually does not drag on for weeks. If you enjoy formulaic,boring, repetitive clichéd snooze-fests, then this is for you.",0
"This film is undoubtedly one of the greatest landmarks in history of cinema. By seeing this film,we can only retrospectively notice that world cinema in 1950s had such a purely humanistic dramaturgy,such a strong and adequate use of sound-image montage,and almost religious admiration of ethical choices in human life. Cinema was then not only one form of arts. It was much higher than ordinary life and it gave many people hope to live after the tragic war. It is said, that even Picasso was moved and cried that such a work of art can appear only once in 100 years! Audience that time was also different. I read that after seeing Kurosawa's ""Ikiru(Live)"" in its first release, young couple quietly told each other,""It is a good film, isn't it?"". I think,contemporary cinema, though technically developed and opened some new narrative perspective, has lost the most important---reliance of audience.Cienma was once really the most popular art from and, unlike modern fine arts and contemporary music,gave millions of people hope and ideals. In this point of view,""Letyat zhuravli"" must be in the pantheon of classics of all the time, as ""City light"",""Ikiru"" and ""La Strada"".",1
"An American boy goes to Paris after his mother commits suicide, becomes and artist and then discovers himself and returns to the States so he can make things right with his former friends.<br /><br />I have to think that the people who are rating this movie so highly are all X-Files fans, even though there are no aliens or serial killers in it. Don't be fooled, this movie blows chunks.<br /><br />The story is incoherent, with little or no explanation of what people are doing or why. When you do get an explanation, it doesn't fit the story that went before it. What it does is bore you. For all the acting talent in the film, it just isn't interesting. I spent the whole movie wondering when sex-addict Duchovny was going to bang someone. Maybe he was doing it behind the scenes; they should have filmed that instead.<br /><br />What comes across is a story of a self-obsessed artist worrying about minor incidents in his life and wanting to make them right somehow - even though they didn't seem that wrong to begin with. There aren't any particularly interesting or shocking revelations, despite the mention of a big secret in the first few minutes. It's just a guy thinking that his life is as interesting to you as it is to him. It's not.<br /><br />I saw in the trivia that Duchovny claims he wrote the script in a week, that's entirely believable. The guy can act, there's no doubt, but writing and directing are obviously beyond his talents.<br /><br />Why Hollywood keeps greenlighting these self-discovery stories is beyond me. I discover myself in the shower every morning but I don't bother making a movie about it. Mine would probably be better than this one, though; at least there would be some nudity.",0
"I just don't understand why anytime someone does a show about one of the largest metro areas in the country (Houston, Dallas, Austin/San Antonio etc.), they portray the average person as someone who wears wranglers/cowboy hat , talks with a drawl, has zero fashion sense, and drives a truck on his way to either the ""saloon"" or his next hunting trip, rodeo, skeet shooting or country music concert. I have never even seen a small town cop driving a police-truck...anywhere in Texas.<br /><br />The funny thing is this is not done for artistic reasons or comedy...they are actually serious and I guess believe the average person is too stupid to know the difference. The bad scripts and equally bad acting give that away. This show makes goofy shows in the past like Knightrider look like high-brow entertainment. At least Knightrider had the talking car.",0
"This 3-hour made-for-TV miniseries came home with us from Blockbuster's this weekend. The production company clearly spent a lot of money on sets, costuming (Bridget Fonda, especially), and special effects (including a great Jim Henson talking polar bear & reindeer). They should have spent a bit more money getting a coherent script. The story line was so loose that it really never came together. One can overlook Irish-accented Germans, but not herky-jerky storytelling. With senseless loose ends which included a special guest appearance by the Devil, this one is certainly not destined to be a Christmas Classic. A shame that they wasted good performances by the two female leads.",0
"Pretty bad PRC cheapie which I rarely bother to watch over again, and it's no wonder -- it's slow and creaky and dull as a butter knife. Mad doctor George Zucco is at it again, turning a dimwitted farmhand in overalls (Glenn Strange) into a wolf-man. Unfortunately, the makeup is virtually non-existent, consisting only of a beard and dimestore fangs for the most part. If it were not for Zucco and Strange's presence, along with the cute Anne Nagel, this would be completely unwatchable. Strange, who would go on to play Frankenstein's monster for Unuiversal in two years, does a Lenny impression from ""Of Mice and Men"", it seems.<br /><br />*1/2 (of Four)",0
